Club,Nº jugadores,Edad,Extranjeros,Media valor mercado,Valor de mercado,Año,Liga
Nantes,35,25.0,19,3.03 mill. €,106.15 mill. €,2019,ligue-1
Saint-Etienne,41,24.8,15,2.56 mill. €,104.83 mill. €,2019,ligue-1
Strasbourg,31,25.7,14,2.94 mill. €,91.13 mill. €,2019,ligue-1
Angers,31,25.9,14,2.89 mill. €,89.48 mill. €,2019,ligue-1
Montpellier,30,26.2,14,2.72 mill. €,81.68 mill. €,2019,ligue-1
Reims,31,23.7,21,2.63 mill. €,81.68 mill. €,2019,ligue-1
Toulouse,35,23.5,13,2.05 mill. €,71.88 mill. €,2019,ligue-1
Amiens,37,25.3,20,1.67 mill. €,61.93 mill. €,2019,ligue-1
Metz,32,24.4,21,1.69 mill. €,54.10 mill. €,2019,ligue-1
Dijon,31,25.3,19,1.62 mill. €,50.23 mill. €,2019,ligue-1
Nimes,35,23.8,12,1.42 mill. €,49.65 mill. €,2019,ligue-1
Brest,28,26.0,8,1.71 mill. €,47.78 mill. €,2019,ligue-1
